2021-03-26 11:51:00,673  INFO | restartedMain | o.s.security.web.DefaultSecurityFilterChain            | Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1eef270c, org.springframework.security.web.context.SecurityContextPersistenceFilter@710f4510, org.springframework.security.web.header.HeaderWriterFilter@e3dd1f, org.keycloak.adapters.springsecurity.filter.KeycloakPreAuthActionsFilter@6c4d232, org.keycloak.adapters.springsecurity.filter.KeycloakAuthenticationProcessingFilter@3044f429, org.springframework.security.web.authentication.logout.LogoutFilter@38254176, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5ca9c6ba, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@423ce315, org.keycloak.adapters.springsecurity.filter.KeycloakSecurityContextRequestFilter@38edc2d3, org.keycloak.adapters.springsecurity.filter.KeycloakAuthenticatedActionsFilter@2f1f9c5b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@57dc5718, org.springframework.security.web.session.SessionManagementFilter@5794ca0a, org.springframework.security.web.access.ExceptionTranslationFilter@56ff6e8d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@39f53cf6] 
2021-03-26 11:51:00,684  INFO | restartedMain | s.d.s.web.PropertySourcedRequestMappingHandlerMapping  | Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)] 
2021-03-26 11:51:00,765  INFO | restartedMain | o.s.b.devtools.autoconfigure.OptionalLiveReloadServer  | LiveReload server is running on port 35729 
2021-03-26 11:51:00,777  INFO | restartedMain | o.s.b.a.web.servlet.WelcomePageHandlerMapping          | Adding welcome page: class path resource [public/index.html] 
2021-03-26 11:51:00,822  WARN | restartedMain | o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration | Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration) 
2021-03-26 11:51:00,903  INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol             | Starting ProtocolHandler ["http-nio-9090"] 
2021-03-26 11:51:00,906  INFO | restartedMain | o.s.boot.web.embedded.tomcat.TomcatWebServer           | Tomcat started on port(s): 9090 (http) with context path '' 
2021-03-26 11:51:00,907  INFO | restartedMain | s.d.spring.web.plugins.DocumentationPluginsBootstrapper | Context refreshed 
2021-03-26 11:51:00,908  INFO | restartedMain | s.d.spring.web.plugins.DocumentationPluginsBootstrapper | Found 1 custom documentation plugin(s) 
2021-03-26 11:51:00,913  INFO | restartedMain | s.d.spring.web.scanners.ApiListingReferenceScanner     | Scanning for api listing references 
2021-03-26 11:51:01,029  INFO | restartedMain | o.s.d.r.config.DeferredRepositoryInitializationListener | Triggering deferred initialization of Spring Data repositories… 
2021-03-26 11:51:03,878  INFO | task-1 | com.zaxxer.hikari.HikariDataSource                     | HikariPool-2 - Start completed. 
2021-03-26 11:51:03,879  INFO | task-1 | org.hibernate.dialect.Dialect                          | HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect 
2021-03-26 11:51:04,736  INFO | task-1 | o.h.e.t.jta.platform.internal.JtaPlatformInitiator     | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2021-03-26 11:51:04,736  INFO | task-1 | o.s.orm.jpa.LocalContainerEntityManagerFactoryBean     | Initialized JPA EntityManagerFactory for persistence unit 'default' 
2021-03-26 11:51:04,810  INFO | restartedMain | o.s.d.r.config.DeferredRepositoryInitializationListener | Spring Data repositories initialized! 
2021-03-26 11:51:04,815  INFO | restartedMain | n.sijbers.csia.reservationApp.ReservationAppApplication | Started ReservationAppApplication in 5.495 seconds (JVM running for 72.587) 
2021-03-26 11:51:04,818  INFO | restartedMain | o.s.b.d.a.ConditionEvaluationDeltaLoggingListener      | Condition evaluation unchanged 
2021-03-26 11:53:03,665  INFO | Thread-8 | o.s.orm.jpa.LocalContainerEntityManagerFactoryBean     | Closing JPA EntityManagerFactory for persistence unit 'default' 
2021-03-26 11:53:03,665  INFO | Thread-8 | o.s.scheduling.concurrent.ThreadPoolTaskExecutor       | Shutting down ExecutorService 'applicationTaskExecutor' 
2021-03-26 11:53:03,666  INFO | Thread-8 | com.zaxxer.hikari.HikariDataSource                     | HikariPool-2 - Shutdown initiated... 
2021-03-26 11:53:03,670  INFO | Thread-8 | com.zaxxer.hikari.HikariDataSource                     | HikariPool-2 - Shutdown completed. 
2021-03-26 11:53:03,960  INFO | restartedMain | n.sijbers.csia.reservationApp.ReservationAppApplication | Starting ReservationAppApplication on franks-MacBook-Pro.local with PID 46344 (/Users/frank/Dropbox/dev/tom/reservationappBackend/target/classes started by frank in /Users/frank/Dropbox/dev/tom/reservationappBackend) 
2021-03-26 11:53:03,961  INFO | restartedMain | n.sijbers.csia.reservationApp.ReservationAppApplication | The following profiles are active: dev 
2021-03-26 11:53:04,280  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Bootstrapping Spring Data JPA repositories in DEFERRED mode. 
2021-03-26 11:53:04,294  INFO | restartedMain | o.s.d.repository.config.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 13ms. Found 2 JPA repository interfaces. 
2021-03-26 11:53:04,371  INFO | restartedMain | o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@55f51871' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2021-03-26 11:53:04,374  INFO | restartedMain | o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2021-03-26 11:53:04,469  INFO | restartedMain | o.s.boot.web.embedded.tomcat.TomcatWebServer           | Tomcat initialized with port(s): 9090 (http) 
2021-03-26 11:53:04,470  INFO | restartedMain | org.apache.coyote.http11.Http11NioProtocol             | Initializing ProtocolHandler ["http-nio-9090"] 
2021-03-26 11:53:04,470  INFO | restartedMain | org.apache.catalina.core.StandardService               | Starting service [Tomcat] 
